particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
350341,162,54,17.58,28.375,529,116.15,0.7,461.22,211.31,89,830,49.625,0.39,824,864,849,869,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350364,163,9,17.689,16.125,226,92.15,0.58,668.36,156.83,258,831,28.375,0.39,1012,1034,57,80,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350399,163,44,17.689,12.625,161,73.43,0.61,719.82,109.82,341,831,26.125,0.33,17,38,879,899,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350499,165,23,17.908,20.625,319,86.01,0.74,403.83,251.29,25,829,32.875,0.45,143,172,423,439,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350549,166,16,18.017,15.875,222,69.21,0.76,434.87,245.54,86,831,27.625,0.37,819,845,431,441,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350753,170,9,18.454,12.125,153,71.01,0.62,732.58,102.41,400,831,21.125,0.46,974,986,376,396,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350761,170,17,18.454,17.875,260,128.47,0.44,733.91,66.64,561,831,54.875,0.23,1180,1207,504,544,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350824,171,30,18.563,17.625,257,79.36,0.72,670.61,133.71,290,832,27.125,0.55,1225,1250,668,684,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350858,172,14,18.672,14.625,195,72.28,0.68,542.02,234.47,109,830,26.125,0.42,61,86,357,369,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
350971,174,18,18.891,14.625,197,73.94,0.67,547.98,216.21,109,827,19.625,0.87,96,115,439,456,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351037,175,40,19,21.375,337,140.85,0.46,567.21,215.84,73,831,33.375,0.72,570,598,864,893,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351104,176,50,19.109,22.625,374,104.33,0.66,756.1,84.75,470,899,37.375,0.6,597,623,987,1013,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351145,177,38,19.218,10.375,127,74.6,0.54,736.77,87.07,484,829,30.625,0.24,72,96,893,909,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351179,178,19,19.327,11.125,137,66.77,0.62,716.53,95.79,491,831,25.125,0.27,1204,1227,575,587,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351278,180,22,19.546,10.125,123,74.94,0.52,767.36,45.34,655,831,31.625,0.16,65,80,509,535,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351401,182,41,19.764,12.875,164,60.04,0.76,558.77,205.54,149,831,20.875,0.45,800,819,877,888,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351448,183,35,19.873,18.375,273,116.23,0.5,738.37,70.65,461,831,34.625,0.46,244,275,751,769,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
